entity:sample_id	hg19_RRBS_bai	hg19_RRBS_bam	hg19_hybrid_capture_bai	hg19_hybrid_capture_bam	hg19_raindance_bai	hg19_raindance_bam	hg19_targeted_bai	hg19_targeted_bam	hg38_rna_bai	hg38_rna_bam	hg38_wes_bai	hg38_wes_bam	hg38_wgs_bai	hg38_wgs_bam	mutect2_parquet_wes	mutect2_parquet_wgs	mutect2_vcf_wes	mutect2_vcf_wgs	participant	stripped_cell_line_name	wes_kit
ACH-000012	gs://cclebams/RRBS/G29750/HCC827/v1/HCC827.bai	gs://cclebams/RRBS/G29750/HCC827/v1/HCC827.bam	gs://cclebams/hybrid_capture/HCC827_LUNG.bai	gs://cclebams/hybrid_capture/HCC827_LUNG.bam	gs://cclebams/raindance/G16640/HCC827/current/HCC827.bai	gs://cclebams/raindance/G16640/HCC827/current/HCC827.bam			gs://cclebams/rnasq_hg38/CDS-AksNNo.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-AksNNo.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-BwSmbX.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-BwSmbX.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/1cc1b53ff0834120ac9904e475bd3101-0.parquet"",""gs://ccle-mutation/mutect2_parquet/38302555ca7d4162a093eccb0d1b2285-0.parquet"",""gs://ccle-mutation/mutect2_parquet/41ce3c1305ef44dd886a528815e740a1-0.parquet"",""gs://ccle-mutation/mutect2_parquet/60932fd576844e6a8a65f81cfb1fb3f3-0.parquet"",""gs://ccle-mutation/mutect2_parquet/94aa1f2a31cd45278d89f9ad570d9a4e-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a164ca6f50f94d8b87cae2fb2bcbfc3b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/bb54ca0e3455456082d9dfcd9766b6b5-0.parquet"",""gs://ccle-mutation/mutect2_parquet/c3c0f39a6db4450687d99e1f051bb44a-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-BwSmbX_fixed.vcf.gz	ACH-000012	HCC827	
ACH-000013	gs://cclebams/RRBS/G29750/ONCO-DG-1/v2/ONCO-DG-1.bai	gs://cclebams/RRBS/G29750/ONCO-DG-1/v2/ONCO-DG-1.bam	gs://cclebams/hybrid_capture/ONCODG1_OVARY.bai	gs://cclebams/hybrid_capture/ONCODG1_OVARY.bam					gs://cclebams/rnasq_hg38/CDS-qqF7T8.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-qqF7T8.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-FvwPIb.hg38.bai	gs://cclebams/hg38_wes/CDS-FvwPIb.hg38.bam			"[""gs://ccle-mutation/mutect2_parquet/17f41efb1f204dc580336cd06ef13cf5-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-FvwPIb_fixed.vcf.gz		ACH-000013	ONCODG1	AGILENT
ACH-000014	gs://cclebams/RRBS/G29750/Hs_294T/v3/Hs_294T.bai	gs://cclebams/RRBS/G29750/Hs_294T/v3/Hs_294T.bam							gs://cclebams/rnasq_hg38/CDS-OiPTUe.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-OiPTUe.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-Ip02tY.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-Ip02tY.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/10ba7ca5830a4aac82d20a1abb752dab-0.parquet"",""gs://ccle-mutation/mutect2_parquet/5002ca92d6fd4afd946e165efe1bfce7-0.parquet"",""gs://ccle-mutation/mutect2_parquet/5f2679206e5043c196f1d91212f6a491-0.parquet"",""gs://ccle-mutation/mutect2_parquet/6555ba25f51146cb9526373a1088f1eb-0.parquet"",""gs://ccle-mutation/mutect2_parquet/67c2ccf150184b4b8e88c743a6c25ab8-0.parquet"",""gs://ccle-mutation/mutect2_parquet/843c5895fa244c9f9705c2628f56ee03-0.parquet"",""gs://ccle-mutation/mutect2_parquet/99c6e77156d34771810bf71d7d1069a5-0.parquet"",""gs://ccle-mutation/mutect2_parquet/aae2a934c23b4c33860ce4f55d512413-0.parquet"",""gs://ccle-mutation/mutect2_parquet/ae972bdeada7413bba1fd5dd4a4564a9-0.parquet"",""gs://ccle-mutation/mutect2_parquet/e5144caa78d047b0a7dcea420000f65f-0.parquet"",""gs://ccle-mutation/mutect2_parquet/fcaa468c92a54733a2d1d3e342dca70d-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-Ip02tY_fixed.vcf.gz	ACH-000014	HS294T	
ACH-000015	gs://cclebams/RRBS/G29750/NCI-H1581/v1/NCI-H1581.bai	gs://cclebams/RRBS/G29750/NCI-H1581/v1/NCI-H1581.bam	gs://cclebams/hybrid_capture/NCIH1581_LUNG.bai	gs://cclebams/hybrid_capture/NCIH1581_LUNG.bam	gs://cclebams/raindance/G16640/NCI-H1581/current/NCI-H1581.bai	gs://cclebams/raindance/G16640/NCI-H1581/current/NCI-H1581.bam	gs://cclebams/targeted/C1926/NCI-H1581/current/NCI-H1581.bai	gs://cclebams/targeted/C1926/NCI-H1581/current/NCI-H1581.bam	gs://cclebams/rnasq_hg38/CDS-xP85IL.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-xP85IL.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-DjghjI.hg38.bai	gs://cclebams/hg38_wes/CDS-DjghjI.hg38.bam			"[""gs://ccle-mutation/mutect2_parquet/1139f47cc14a4a918d1da4a53eedd8ed-0.parquet"",""gs://ccle-mutation/mutect2_parquet/bc76778d8da54bff904ed6ca8ab96b73-0.parquet"",""gs://ccle-mutation/mutect2_parquet/d13bbb220d3e4e6ab0336007135ba392-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-DjghjI_fixed.vcf.gz		ACH-000015	NCIH1581	AGILENT
ACH-000016									gs://cclebams/rnasq_hg38/CDS-X6cMpP.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-X6cMpP.Aligned.sortedByCoord.out.bam									ACH-000016	SLR21	
ACH-000017	gs://cclebams/RRBS/G29750/SK-BR-3/v1/SK-BR-3.bai	gs://cclebams/RRBS/G29750/SK-BR-3/v1/SK-BR-3.bam	gs://cclebams/hybrid_capture/SKBR3_BREAST.bai	gs://cclebams/hybrid_capture/SKBR3_BREAST.bam	gs://cclebams/raindance/G16640/SK-BR-3/current/SK-BR-3.bai	gs://cclebams/raindance/G16640/SK-BR-3/current/SK-BR-3.bam			gs://cclebams/rnasq_hg38/CDS-2MfLwH.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-2MfLwH.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-4Klk1G.hg38.bai	gs://cclebams/hg38_wes/CDS-4Klk1G.hg38.bam			"[""gs://ccle-mutation/mutect2_parquet/2b27f200f30e413f8c848a3591be9d2e-0.parquet"",""gs://ccle-mutation/mutect2_parquet/7b7f4de3154e44e281d5fcee2557974b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/7d9a9322c17448fab180f17e7580243b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/851aeb0fb1394b7ea8180314685e91ba-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-4Klk1G_fixed.vcf.gz		ACH-000017	SKBR3	ICE
ACH-000018	gs://cclebams/RRBS/G29750/T24/v2/T24.bai	gs://cclebams/RRBS/G29750/T24/v2/T24.bam	gs://cclebams/hybrid_capture/T24.bai	gs://cclebams/hybrid_capture/T24.bam					gs://cclebams/rnasq_hg38/CDS-TqLgJl.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-TqLgJl.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-7z20ke.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-7z20ke.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/2fa6c821a90341e1ba8b6dcce0e890f7-0.parquet"",""gs://ccle-mutation/mutect2_parquet/3a5c8461d5e54a0d8a3472c5bafb2ce7-0.parquet"",""gs://ccle-mutation/mutect2_parquet/40025bfeaf434723a5d798bad6e18580-0.parquet"",""gs://ccle-mutation/mutect2_parquet/437d07ba92ba4736a991f4a12aaabd95-0.parquet"",""gs://ccle-mutation/mutect2_parquet/6d27e78caca245a1bae871cf06ac3463-0.parquet"",""gs://ccle-mutation/mutect2_parquet/713ddfdc627f4a8db702e016aad02da2-0.parquet"",""gs://ccle-mutation/mutect2_parquet/8016191070494c76a4d5ced75b1c3424-0.parquet"",""gs://ccle-mutation/mutect2_parquet/8b9a5765491e444cb1dfc693dca1bdc1-0.parquet"",""gs://ccle-mutation/mutect2_parquet/cf09c488d2964e9fad96c9a9f380c7d2-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-7z20ke_fixed.vcf.gz	ACH-000018	T24	
ACH-000019	gs://cclebams/RRBS/G29750/MCF7/v2/MCF7.bai	gs://cclebams/RRBS/G29750/MCF7/v2/MCF7.bam	gs://cclebams/hybrid_capture/MCF7.merged.bai	gs://cclebams/hybrid_capture/MCF7.merged.bam					gs://cclebams/rnasq_hg38/CDS-5yMpMQ.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-5yMpMQ.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-Y6TYio.hg38.bam.bai	gs://cclebams/hg38_wes/CDS-Y6TYio.hg38.bam	gs://cclebams/wgs_hg38/CDS-qxi9TK.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-qxi9TK.wgs_ccle.bam	"[""gs://ccle-mutation/mutect2_parquet/0b8a8752d4f044768685892d07e293ac-0.parquet"",""gs://ccle-mutation/mutect2_parquet/411b6b50644e4b3f940f46a6c301ac44-0.parquet"",""gs://ccle-mutation/mutect2_parquet/8243a44772854b5f986cd4fc0baefaa5-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a8c7d575705a4b7a9fc6f40488e43509-0.parquet"",""gs://ccle-mutation/mutect2_parquet/c4b0b8240cab42f08c2d0c21a670a5be-0.parquet""]"	"[""gs://ccle-mutation/mutect2_parquet/1d9e38572e054c758066e269e888f812-0.parquet"",""gs://ccle-mutation/mutect2_parquet/24b82618426b465cabf0cf8be6b3bf25-0.parquet"",""gs://ccle-mutation/mutect2_parquet/5a50f94cfd6e4b558d6b2c5d8b03fec3-0.parquet"",""gs://ccle-mutation/mutect2_parquet/854869e5de7646c9a7a71dfe845d95d2-0.parquet"",""gs://ccle-mutation/mutect2_parquet/9338398ea8104a04a04079487581d752-0.parquet"",""gs://ccle-mutation/mutect2_parquet/9c907d51c485446eae4fa4fb49ba6c15-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a2a38c011f2d49709b568a99b64d5bad-0.parquet"",""gs://ccle-mutation/mutect2_parquet/cbe0552e38884d2a8c2dd54cd9418d97-0.parquet"",""gs://ccle-mutation/mutect2_parquet/e026d4876f794ee6ba083beb08bf6e51-0.parquet""]"	gs://ccle-mutation/mutect2_vcf/CDS-Y6TYio_fixed.vcf.gz	gs://ccle-mutation/mutect2_vcf/CDS-qxi9TK_fixed.vcf.gz	ACH-000019	MCF7	ICE
ACH-000020	gs://cclebams/RRBS/G29750/MHH-CALL-2/v1/MHH-CALL-2.bai	gs://cclebams/RRBS/G29750/MHH-CALL-2/v1/MHH-CALL-2.bam	gs://cclebams/hybrid_capture/MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai	gs://cclebams/hybrid_capture/MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam	gs://cclebams/raindance/G16640/MHH-CALL-2/current/MHH-CALL-2.bai	gs://cclebams/raindance/G16640/MHH-CALL-2/current/MHH-CALL-2.bam			gs://cclebams/rnasq_hg38/CDS-2O61Rg.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-2O61Rg.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-RL1iWJ.hg38.bai	gs://cclebams/hg38_wes/CDS-RL1iWJ.hg38.bam			"[""gs://ccle-mutation/mutect2_parquet/d769a90db5f7424faac7a536283f3bd2-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-RL1iWJ_fixed.vcf.gz		ACH-000020	MHHCALL2	AGILENT
ACH-000021	gs://cclebams/RRBS/G29750/NCI-H1693/v3/NCI-H1693.bai	gs://cclebams/RRBS/G29750/NCI-H1693/v3/NCI-H1693.bam	gs://cclebams/hybrid_capture/NCIH1693_LUNG.bai	gs://cclebams/hybrid_capture/NCIH1693_LUNG.bam	gs://cclebams/raindance/G16640/NCI-H1693/current/NCI-H1693.bai	gs://cclebams/raindance/G16640/NCI-H1693/current/NCI-H1693.bam			gs://cclebams/rnasq_hg38/CDS-a0nW8m.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-a0nW8m.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-SboeUb.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-SboeUb.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/40f99a6ab1a344eebbbcb26d10adb976-0.parquet"",""gs://ccle-mutation/mutect2_parquet/6f6a84bdb05e4c7d96cf70b3f24417f3-0.parquet"",""gs://ccle-mutation/mutect2_parquet/842d0e83dff54a9ba0c7958a2fe8306b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/8da3845feb4e4b8eb511c94f5b2056e9-0.parquet"",""gs://ccle-mutation/mutect2_parquet/929fe8ce7ade4bfbbccbb606ef425940-0.parquet"",""gs://ccle-mutation/mutect2_parquet/adc3bfe281c34680a6ca7e681f90e786-0.parquet"",""gs://ccle-mutation/mutect2_parquet/b05c356e3270460381a250f0b3f5f77b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/ec996fddb15341b2a7ec8def66a369b8-0.parquet"",""gs://ccle-mutation/mutect2_parquet/ffe4480e27b14784a81dc30ee9cb3e75-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-SboeUb_fixed.vcf.gz	ACH-000021	NCIH1693	
